#1,,,,,,,,,,,,
#Western States Championships, Bullhead City AZ, Mar 19 and 20,2016
#Locked
#Game,Date,Day,Field,Time,Division,Home Section,Visiting Section,Referees Section,CR,AR1,AR2,4th
1,19-Mar, Saturday, Field 1, 9:00 AM, GU14, 2/D/218 Davis, 10/O/1429 Cutler/Orosi,Section 11,,,,
2,19-Mar, Saturday, Field 1, 11:00 AM, BU14, 10/O/1429 Cutler/Orosi, 1/C/908 El Monte,Section 11,,,,
3,19-Mar, Saturday, Field 1, 1:00 PM, GU14 CHAMPIONSHIP, Winner Field 1 @ 9, Winner Field 2 @ 9,,,,,
4,19-Mar, Saturday, Field 1, 3:00 PM, BU14 CHAMPIONSHIP, Winner Field 1 @ 11, Winner Field 2 @ 11,,,,,
5,19-Mar, Saturday, Field 2, 9:00 AM, GU14, 1/P/1031 So. LA/ Ladera Heights, 11/L/86 Laguna Beach,Section 10,,,,
6,19-Mar, Saturday, Field 2, 11:00 AM, BU14, 11/Z/652 South Gate, 1WC/B/31 Diamond Bar,Section 10,,,,
7,19-Mar, Saturday, Field 2, 1:00 PM, GU14 CONSOLATION, Loser Field 1 @ 9, Loser Field 2 @ 9,,,,,
8,19-Mar, Saturday, Field 2, 3:00 PM, BU14 CONSOLATION, Loser Field 1 @ 11, Loser Field 2 @ 11,,,,,
9,19-Mar, Saturday, Field 5, 9:00 AM, GU12, 11/Z/1065 Montebello, 2/D/218 Davis,Section One,,,,
10,19-Mar, Saturday, Field 5, 11:00 AM, BU12, 11/Z/1347 East Los Angeles, 2/N/1 Redwood City,Section One,,,,
11,19-Mar, Saturday, Field 5, 1:00 PM, GU12 CHAMPIONSHIP, Winner Field 5 @ 9, Winner Field 6 @ 9,,,,,
12,19-Mar, Saturday, Field 5, 3:00 PM, BU12  CHAMPIONSHIP, Winner Field 5 @ 11, Winner Field 6 @ 11,,,,,
13,19-Mar, Saturday, Field 6, 9:00 AM, GU12, 1/D/18 Manhattan/Hermosa Beach, 10/A/359 Bakersfield,Section 11,,,,
14,19-Mar, Saturday, Field 6, 11:00 AM, BU12, 10/Q/741 Paso Robles, 1/P/1595 Watts,Section 11,,,,
15,19-Mar, Saturday, Field 6, 1:00 PM, GU12 CONSOLATION, Loser Field 5 @ 9, Loser Field 6 @ 9,,,,,
16,19-Mar, Saturday, Field 6, 3:00 PM, BU12 CONSOLATION, Loser Field 5 @ 11, Loser Field 6 @ 11,,,,,
17,19-Mar, Saturday, Field 9, 9:00 AM, GU10, 11/Z/24 Downey, 10/W/122 Santa Barbara,Section One,,,,
18,19-Mar, Saturday, Field 9, 11:00 AM, BU10, 11/K/143 West Huntington Beach, 10/Q/180 Santa Ynez Valley,Section One,,,,
19,19-Mar, Saturday, Field 9, 1:00 PM, GU10 CHAMPIONSHIP, Winner Field 9 @ 9, Winner Field 10 @ 9,,,,,
20,19-Mar, Saturday, Field 9, 3:00 PM, BU10 CHAMPIONSHIP , Winner Field 9 @ 11, Winner Field 10 @ 11,,,,,
21,19-Mar, Saturday, Field 10, 9:00 AM, GU10, 2/F/282 South Lake Tahoe, 1/D/21 Hawthorne,Section 11,,,,
22,19-Mar, Saturday, Field 10, 11:00 AM, BU10, 10WC/D/665 Victorville, 1/P/1595 Watts,Section 11,,,,
23,19-Mar, Saturday, Field 10, 1:00 PM, GU10 CONSOLATION, Loser Field 9 @ 9, Loser Field 10 @ 9,,,,,
24,19-Mar, Saturday, Field 10, 3:00 PM, BU10 CONSOLATION, Loser Field 9 @ 11, Loser Field 10 @ 11,,,,,
25,19-Mar, Saturday, Field 11, 9:00 AM, BU09Extra, 2/C/1604 Manteca, 1/D/7 Westchester,Section 10,,,,
26,19-Mar, Saturday, Field 11, 11:00 AM, BU10Extra, 1/F/6 San Pedro, 11WC/L/84 Mission Viejo,Section 10,,,,
27,19-Mar, Saturday, Field 11, 1:00 PM, BU09Extra CHAMPIONSHIP, Winner Field 12 @ 9, Winner Field 11 @ 9,,,,,
28,19-Mar, Saturday, Field 11, 3:00 PM, BU10Extra CHAMPIONSHIP, Winner Field 12 @ 11, Winner Field 11 @ 11,,,,,
29,19-Mar, Saturday, Field 12, 9:00 AM, BU09Extra, 10/E/9 Thousand Oaks, 11/Z/652 South Gate,Section One,,,,
30,19-Mar, Saturday, Field 12, 11:00 AM, BU10Extra, 10/E/4 Agoura/Westlake/Oak Park, 11/K/117 Central Huntington Beach,Section One,,,,
31,19-Mar, Saturday, Field 12, 1:00 PM, BU09Extra CONSOLATION, Loser Field 12 @ 9, Loser Field 11 @ 9,,,,,
32,19-Mar, Saturday, Field 12, 3:00 PM, BU10Extra CONSOLATION, Loser Field 12 @ 11, Loser Field 11 @ 11,,,,,
33,19-Mar, Saturday, Field 7, 9:00 AM, BU11Extra, 1WC/F/14 West Torrance, 11/L/85 Lake Forest,Section 10,,,,
34,19-Mar, Saturday, Field 7, 11:00 AM, BU12Extra, 11/Q/1398 Yorba Linda, 1/P/19 Culver City,Section 10,,,,
35,19-Mar, Saturday, Field 7, 1:00 PM, BU11Extra CHAMPIONSHIP, Winner Field 7 @ 9, Winner Field 8 @ 9,,,,,
36,19-Mar, Saturday, Field 7, 3:00 PM, BU12Extra CHAMPIONSHIP, Winner Field 7 @ 11, Winner Field 8 @ 11,,,,,
37,19-Mar, Saturday, Field 8, 9:00 AM, BU11Extra, 10/E/4 Agoura/Westlake/Oak Park, 1/D/34 So. Redondo Beach,Section 11,,,,
38,19-Mar, Saturday, Field 8, 11:00 AM, BU12Extra, 10/W/68 Camarillo, 2/C/1187 American Canyon,Section 11,,,,
39,19-Mar, Saturday, Field 8, 1:00 PM, BU11Extra CONSOLATION, Loser Field 7 @ 9, Loser Field 8 @ 9,,,,,
40,19-Mar, Saturday, Field 8, 3:00 PM, BU12Extra CONSOLATION, Loser Field 7 @ 11, Loser Field 8 @ 11,,,,,
41,19-Mar, Saturday, Field 3, 9:00 AM, BU13Extra, 11/Z/603 Pico Rivera, 10/W/39 Ventura,Section 2,,,,
42,19-Mar, Saturday, Field 3, 11:00 AM, BU14Extra, 10/V/71 Woodland Hills, 1/B/67 Chino,Section 2,,,,
43,19-Mar, Saturday, Field 3, 1:00 PM, BU13Extra CHAMPIONSHIP, Winner Field 3 @ 9, Winner Field 4 @ 9,,,,,
